trait,traitLabel,people,scholiaURL
http://www.wikidata.org/entity/Q113095524,animal trait,Alexandra J. R. Carthey | Daniel Falster | Daniel S. Park | Ian J. Wright | Joshua S Madin | Mark Westoby,https://scholia.toolforge.org/organization/Q112326635/topic/Q113095524
http://www.wikidata.org/entity/Q113208657,behavioral trait,Jacintha Ellers,https://scholia.toolforge.org/organization/Q112326635/topic/Q113208657
http://www.wikidata.org/entity/Q113455883,dispersal trait,Wilco C.E.P. Verberk | Hervé Sauquet | Joseph A Tobias | Joshua S Madin | Marko J. Spasojevic,https://scholia.toolforge.org/organization/Q112326635/topic/Q113455883
http://www.wikidata.org/entity/Q112904976,functional trait,Wilco C.E.P. Verberk | William D. Pearse | William Farfan-Rios | Ben Sparrow | Brad Boyle | Brian J. Enquist | Colleen M. Iversen | Courtenay A Ray | Cyrille Violle | Daniel Falster | Dylan J. Craven | Franziska Schrodt | Heloise Gibb | Ian J. Wright | J. Aaron Hogan | Jacintha Ellers | Jens Kattge | Jonas J. Lembrechts | Joseph A Tobias | Katherine C B Weiss | Loïc Chalmandrier | Luca Santini | Mark Westoby | Marko J. Spasojevic | Michael J. McWilliam | Michael Ray Kearney | Nicolas Fanin | Pete Manning | Rachael V. Gallagher | Ralf B. Schäfer | Roberto Salguero-Gómez | Samuel C. Andrew | Sean T. Michaletz | Steven L. Chown | Timothy M. Perez | Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q112904976
http://www.wikidata.org/entity/Q112869162,invasive trait,Jens Kattge | Rachael V. Gallagher | Steven L. Chown,https://scholia.toolforge.org/organization/Q112326635/topic/Q112869162
http://www.wikidata.org/entity/Q71150575,life-history trait,Caterina Penone | Cyrille Violle | Eveliina P. Kallioniemi | Jacintha Ellers | Joshua S Madin | Roberto Salguero-Gómez,https://scholia.toolforge.org/organization/Q112326635/topic/Q71150575
http://www.wikidata.org/entity/Q113110876,metabolic plasticity,Samraat S. Pawar,https://scholia.toolforge.org/organization/Q112326635/topic/Q113110876
http://www.wikidata.org/entity/Q113000858,metabolic trait,Jacintha Ellers | Samraat S. Pawar,https://scholia.toolforge.org/organization/Q112326635/topic/Q113000858
http://www.wikidata.org/entity/Q113203955,morphological trait,Cyrille Violle | Heloise Gibb | Jens Kattge | Joseph A Tobias | Joshua S Madin,https://scholia.toolforge.org/organization/Q112326635/topic/Q113203955
http://www.wikidata.org/entity/Q113024567,plant trait,Wilco C.E.P. Verberk | Yaoqi Li | Aud H. Halbritter | Ben Sparrow | Brad Boyle | Brian J. Enquist | Brian S. Maitner | Colleen M. Iversen | Courtenay A Ray | Cyrille Violle | Daniel Falster | David B. Roy | Dylan J. Craven | Fatih Fazlioglu | Franziska Schrodt | Hervé Sauquet | Ian J. Wright | Ignasi Bartomeus | J. Aaron Hogan | Jens Kattge | Jonas J. Lembrechts | Joseph A Tobias | Joshua S Madin | Kim S. Ely | Luca Santini | Mark Westoby | Marko J. Spasojevic | Maurizio Rossetto | Mohammad Bagher Erfanian | Pete Manning | Rachael V. Gallagher | Richard J Telford | Roberto Salguero-Gómez | Samuel C. Andrew | Sean T. Michaletz | Tanya Strydom | Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q113024567
http://www.wikidata.org/entity/Q113141694,seed mass,Mark Westoby | Vigdis Vandvik,https://scholia.toolforge.org/organization/Q112326635/topic/Q113141694
http://www.wikidata.org/entity/Q113170839,sexual trait,Jacintha Ellers | Joseph A Tobias,https://scholia.toolforge.org/organization/Q112326635/topic/Q113170839
